True_Label,LH_VisCent_ExStr_2,LH_VisCent_ExStr_1,LH_VisCent_Striate_1,LH_VisCent_ExStr_3,LH_VisCent_ExStr_4,LH_VisCent_ExStr_5,LH_VisPeri_ExStrInf_1,LH_VisPeri_ExStrInf_2,LH_VisPeri_ExStrInf_3,LH_VisPeri_StriCal_1,LH_VisPeri_ExStrSup_1,LH_VisPeri_ExStrSup_2,LH_SomMotA_1,LH_SomMotA_2,LH_SomMotA_3,LH_SomMotA_4,LH_SomMotA_5,LH_SomMotA_6,LH_SomMotA_7,LH_SomMotA_8,LH_SomMotB_Aud_1,LH_SomMotB_Aud_2,LH_SomMotB_S2_1,LH_SomMotB_S2_2,LH_SomMotB_Aud_3,LH_SomMotB_S2_3,LH_SomMotB_Cent_1,LH_SomMotB_Cent_2,LH_DorsAttnA_TempOcc_1,LH_DorsAttnA_TempOcc_2,LH_DorsAttnA_ParOcc_1,LH_DorsAttnA_SPL_1,LH_DorsAttnA_SPL_2,LH_DorsAttnA_SPL_3,LH_DorsAttnB_PostC_1,LH_DorsAttnB_PostC_2,LH_DorsAttnB_PostC_3,LH_DorsAttnB_PostC_4,LH_DorsAttnB_FEF_1,LH_SalVentAttnA_ParOper_1,LH_SalVentAttnA_Ins_1,LH_SalVentAttnA_FrOper_1,LH_SalVentAttnA_FrOper_2,LH_SalVentAttnA_ParMed_1,LH_SalVentAttnA_FrMed_1,LH_SalVentAttnA_FrMed_2,LH_SalVentAttnB_IPL_1,LH_SalVentAttnB_PFCl_1,LH_SalVentAttnB_Ins_1,LH_SalVentAttnB_PFCmp_1,LH_LimbicB_OFC_1,LH_LimbicB_OFC_2,LH_LimbicA_TempPole_1,LH_LimbicA_TempPole_2,LH_LimbicA_TempPole_3,LH_LimbicA_TempPole_4,LH_ContA_Temp_1,LH_ContA_IPS_1,LH_ContA_IPS_2,LH_ContA_IPS_3,LH_ContA_PFCd_1,LH_ContA_PFClv_1,LH_ContA_PFCl_1,LH_ContA_PFCl_2,LH_ContA_PFCl_3,LH_ContA_Cingm_1,LH_ContB_Temp_1,LH_ContB_IPL_1,LH_ContB_PFCl_1,LH_ContB_PFClv_1,LH_ContB_PFClv_2,LH_ContC_pCun_1,LH_ContC_pCun_2,LH_ContC_Cingp_1,LH_DefaultA_IPL_1,LH_DefaultA_PFCd_1,LH_DefaultA_pCunPCC_1,LH_DefaultA_pCunPCC_2,LH_DefaultA_pCunPCC_3,LH_DefaultA_PFCm_1,LH_DefaultA_PFCm_2,LH_DefaultA_PFCm_3,LH_DefaultB_Temp_1,LH_DefaultB_Temp_2,LH_DefaultB_Temp_3,LH_DefaultB_Temp_4,LH_DefaultB_IPL_1,LH_DefaultB_PFCd_1,LH_DefaultB_PFCd_2,LH_DefaultB_PFCd_3,LH_DefaultB_PFCd_4,LH_DefaultB_PFCv_1,LH_DefaultB_PFCv_2,LH_DefaultB_PFCv_3,LH_DefaultB_PFCv_4,LH_DefaultC_IPL_1,LH_DefaultC_Rsp_1,LH_DefaultC_PHC_1,LH_TempPar_1,LH_TempPar_2,RH_VisCent_ExStr_1,RH_VisCent_ExStr_2,RH_VisCent_Striate_1,RH_VisCent_ExStr_3,RH_VisCent_ExStr_4,RH_VisCent_ExStr_5,RH_VisPeri_ExStrInf_1,RH_VisPeri_ExStrInf_2,RH_VisPeri_StriCal_1,RH_VisPeri_ExStrSup_1,RH_VisPeri_ExStrSup_2,RH_VisPeri_ExStrSup_3,RH_SomMotA_1,RH_SomMotA_2,RH_SomMotA_3,RH_SomMotA_4,RH_SomMotA_5,RH_SomMotA_6,RH_SomMotA_7,RH_SomMotA_8,RH_SomMotA_9,RH_SomMotA_10,RH_SomMotA_11,RH_SomMotB_Aud_1,RH_SomMotB_Aud_2,RH_SomMotB_S2_1,RH_SomMotB_S2_2,RH_SomMotB_S2_3,RH_SomMotB_S2_4,RH_SomMotB_Cent_1,RH_DorsAttnA_TempOcc_1,RH_DorsAttnA_ParOcc_1,RH_DorsAttnA_SPL_1,RH_DorsAttnA_SPL_2,RH_DorsAttnA_SPL_3,RH_DorsAttnA_SPL_4,RH_DorsAttnB_PostC_1,RH_DorsAttnB_PostC_2,RH_DorsAttnB_PostC_3,RH_DorsAttnB_PostC_4,RH_DorsAttnB_FEF_1,RH_SalVentAttnA_ParOper_1,RH_SalVentAttnA_PrC_1,RH_SalVentAttnA_Ins_1,RH_SalVentAttnA_Ins_2,RH_SalVentAttnA_FrOper_1,RH_SalVentAttnA_FrMed_1,RH_SalVentAttnA_ParMed_1,RH_SalVentAttnA_ParMed_2,RH_SalVentAttnA_FrMed_2,RH_SalVentAttnB_IPL_1,RH_SalVentAttnB_PFClv_1,RH_SalVentAttnB_PFCl_1,RH_SalVentAttnB_Ins_1,RH_SalVentAttnB_Ins_2,RH_SalVentAttnB_PFCmp_1,RH_LimbicB_OFC_1,RH_LimbicB_OFC_2,RH_LimbicB_OFC_3,RH_LimbicB_OFC_4,RH_LimbicA_TempPole_1,RH_LimbicA_TempPole_2,RH_LimbicA_TempPole_3,RH_LimbicA_TempPole_4,RH_ContA_IPS_1,RH_ContA_IPS_2,RH_ContA_PFCd_1,RH_ContA_PFCl_1,RH_ContA_PFCl_2,RH_ContA_Cingm_1,RH_ContB_Temp_1,RH_ContB_Temp_2,RH_ContB_IPL_1,RH_ContB_IPL_2,RH_ContB_PFCld_1,RH_ContB_PFCld_2,RH_ContB_PFClv_1,RH_ContB_PFClv_2,RH_ContB_PFCmp_1,RH_ContB_PFCld_3,RH_ContC_pCun_1,RH_ContC_pCun_2,RH_ContC_Cingp_1,RH_DefaultA_IPL_1,RH_DefaultA_PFCd_1,RH_DefaultA_pCunPCC_1,RH_DefaultA_PFCm_1,RH_DefaultA_PFCm_2,RH_DefaultA_PFCm_3,RH_DefaultB_Temp_1,RH_DefaultB_AntTemp_1,RH_DefaultB_PFCd_1,RH_DefaultB_PFCv_1,RH_DefaultC_IPL_1,RH_DefaultC_Rsp_1,RH_DefaultC_PHC_1,RH_TempPar_1,RH_TempPar_2,RH_TempPar_3,RH_TempPar_4,aHIP-rh,pHIP-rh,lAMY-rh,mAMY-rh,THA-DP-rh,THA-VP-rh,THA-VA-rh,THA-DA-rh,NAc-shell-rh,NAc-core-rh,pGP-rh,aGP-rh,aPUT-rh,pPUT-rh,aCAU-rh,pCAU-rh,aHIP-lh,pHIP-lh,lAMY-lh,mAMY-lh,THA-DP-lh,THA-VP-lh,THA-VA-lh,THA-DA-lh,NAc-shell-lh,NAc-core-lh,pGP-lh,aGP-lh,aPUT-lh,pPUT-lh,aCAU-lh,pCAU-lh
LH_LimbicA_TempPole_3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,23,13,132,4,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH_LimbicA_TempPole_4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,9,1,0,1,0,0,1,9,2,3,5,5,125,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
LH_ContA_Temp_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,3,0,1,0,0,0,3,0,0,1,0,0,0,1,0,1,1,0,0,148,1,4,10,1,0,0,3,2,1,6,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH_ContA_IPS_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,153,7,7,0,1,3,0,7,0,3,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH_ContA_IPS_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,116,42,3,1,0,3,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH_ContA_IPS_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,1,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,30,24,116,1,1,3,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH_ContA_PFCd_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,2,2,4,1,155,4,0,0,2,0,3,4,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH_ContA_PFClv_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,5,2,1,0,0,1,0,0,9,7,4,1,4,108,14,8,1,1,1,5,0,10,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH_ContA_PFCl_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,7,115,10,32,1,5,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH_ContA_PFCl_2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,2,0,2,1,0,2,0,4,0,0,0,0,1,0,0,14,8,3,8,7,5,18,85,14,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
LH_ContA_PFCl_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,3,2,2,2,4,16,3,133,3,1,3,3,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH_ContA_Cingm_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,3,0,0,0,1,2,3,0,0,0,1,0,3,4,3,149,5,4,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH_ContB_Temp_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,3,6,0,0,0,1,5,1,3,1,141,7,6,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH_ContB_IPL_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,4,175,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LH_ContB_PFCl_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,19,133,22,5,0,1,0,2,1,0,1,0,0,0,0,1,0,0,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH_ContB_PFClv_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,0,2,0,12,7,14,151,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH_ContB_PFClv_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,2,0,0,3,3,0,0,4,0,1,3,15,16,124,1,2,0,0,1,0,0,0,0,4,2,0,2,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH_ContC_pCun_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,1,0,0,0,0,1,159,14,7,1,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH_ContC_pCun_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,4,0,0,0,0,0,0,3,0,0,1,3,171,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH_ContC_Cingp_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4,0,185,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH_DefaultA_IPL_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,5,0,3,1,0,0,0,138,12,2,2,0,0,2,0,0,2,0,2,3,1,15,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LH_DefaultA_PFCd_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,4,0,3,1,0,2,0,18,127,4,1,0,3,6,2,1,5,0,0,0,2,9,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
